Year,State,Business Activity,Drug,Registrants,Total grams sold,Avg grams/registrant
2000,ALASKA,PHARMACIES,DL-AMPHETAMINE BASE,75,2359.66,31.46
2000,ALASKA,PHARMACIES,D-AMPHETAMINE BASE,79,7791.91,98.63
2000,ALASKA,PHARMACIES,METHYLPHENIDATE,80,12855.76,160.69
2000,ALASKA,PHARMACIES,OXYCODONE,82,65876.54,803.37
2000,ALASKA,PHARMACIES,HYDROCODONE,82,23932.85,291.86
2000,ALASKA,HOSPITALS,DL-AMPHETAMINE BASE,14,270.17,19.29
2000,ALASKA,HOSPITALS,D-AMPHETAMINE BASE,19,1226.84,64.57
2000,ALASKA,HOSPITALS,METHYLPHENIDATE,30,3939.0,131.3
2000,ALASKA,HOSPITALS,OXYCODONE,37,8336.11,225.3
2000,ALASKA,HOSPITALS,HYDROCODONE,38,2660.7,70.01
2000,ALASKA,PRACTITIONERS,D-AMPHETAMINE BASE,2,35.2,17.6
2000,ALASKA,PRACTITIONERS,METHYLPHENIDATE,4,105.51,26.37
2000,ALASKA,PRACTITIONERS,OXYCODONE,11,175.92,15.99
2000,ALASKA,PRACTITIONERS,HYDROCODONE,110,380.6,3.46
2000,ALASKA,MID-LEVEL PRACTITIONERS,OXYCODONE,1,7.15,7.15
2000,ALASKA,MID-LEVEL PRACTITIONERS,HYDROCODONE,10,44.25,4.42
2000,ALABAMA,PHARMACIES,DL-AMPHETAMINE BASE,1156,29477.69,25.49
2000,ALABAMA,PHARMACIES,D-AMPHETAMINE BASE,1162,48205.81,41.48
2000,ALABAMA,PHARMACIES,METHYLPHENIDATE,1175,128346.02,109.23
2000,ALABAMA,PHARMACIES,OXYCODONE,1194,280647.37,235.04
2000,ALABAMA,PHARMACIES,HYDROCODONE,1211,458540.66,378.64
2000,ALABAMA,HOSPITALS,DL-AMPHETAMINE BASE,52,610.97,11.74
2000,ALABAMA,HOSPITALS,D-AMPHETAMINE BASE,60,1097.66,18.29
2000,ALABAMA,HOSPITALS,METHYLPHENIDATE,97,4015.07,41.39
2000,ALABAMA,HOSPITALS,OXYCODONE,134,18212.75,135.91
2000,ALABAMA,HOSPITALS,HYDROCODONE,155,9604.24,61.96
2000,ALABAMA,PRACTITIONERS,D-AMPHETAMINE BASE,1,0.73,0.73
2000,ALABAMA,PRACTITIONERS,OXYCODONE,12,188.06,15.67
2000,ALABAMA,PRACTITIONERS,HYDROCODONE,2651,6128.42,2.31
2000,ARKANSAS,PHARMACIES,DL-AMPHETAMINE BASE,723,17790.34,24.6
2000,ARKANSAS,PHARMACIES,D-AMPHETAMINE BASE,730,28575.89,39.14
2000,ARKANSAS,PHARMACIES,METHYLPHENIDATE,744,74694.98,100.39
2000,ARKANSAS,PHARMACIES,OXYCODONE,748,105774.43,141.4
2000,ARKANSAS,PHARMACIES,HYDROCODONE,765,169173.04,221.14
2000,ARKANSAS,HOSPITALS,DL-AMPHETAMINE BASE,27,339.92,12.58
2000,ARKANSAS,HOSPITALS,D-AMPHETAMINE BASE,36,557.99,15.49
2000,ARKANSAS,HOSPITALS,METHYLPHENIDATE,73,2015.1,27.6
2000,ARKANSAS,HOSPITALS,OXYCODONE,102,13622.17,133.55
2000,ARKANSAS,HOSPITALS,HYDROCODONE,111,3803.06,34.26
2000,ARKANSAS,PRACTITIONERS,DL-AMPHETAMINE BASE,1,123.23,123.23
2000,ARKANSAS,PRACTITIONERS,D-AMPHETAMINE BASE,1,132.52,132.52
2000,ARKANSAS,PRACTITIONERS,METHYLPHENIDATE,8,592.15,74.01
2000,ARKANSAS,PRACTITIONERS,OXYCODONE,8,3.82,0.47
2000,ARKANSAS,PRACTITIONERS,HYDROCODONE,1053,1887.87,1.79
2000,ARKANSAS,MID-LEVEL PRACTITIONERS,HYDROCODONE,46,29.19,0.63
2000,ARIZONA,PHARMACIES,DL-AMPHETAMINE BASE,738,24598.95,33.33
2000,ARIZONA,PHARMACIES,D-AMPHETAMINE BASE,752,47802.23,63.56
2000,ARIZONA,PHARMACIES,METHYLPHENIDATE,762,123333.89,161.85
2000,ARIZONA,PHARMACIES,OXYCODONE,782,354239.03,452.99
2000,ARIZONA,PHARMACIES,HYDROCODONE,792,196087.72,247.58
2000,ARIZONA,HOSPITALS,DL-AMPHETAMINE BASE,36,536.52,14.9
2000,ARIZONA,HOSPITALS,D-AMPHETAMINE BASE,60,2213.48,36.89
2000,ARIZONA,HOSPITALS,METHYLPHENIDATE,88,8058.2,91.57
2000,ARIZONA,HOSPITALS,OXYCODONE,123,33186.82,269.81
