Year,State,Drug,Q1,Q2,Q3,Q4,TOTAL TO DATE
2000,ALASKA,DL-AMPHETAMINE BASE,105.2,95.05,101.17,110.9,412.33
2000,ALABAMA,DL-AMPHETAMINE BASE,172.96,149.64,168.43,187.49,678.54
2000,ARKANSAS,DL-AMPHETAMINE BASE,174.08,160.97,171.89,190.19,697.14
2000,ARIZONA,DL-AMPHETAMINE BASE,134.19,131.48,127.38,138.19,531.25
2000,CALIFORNIA,DL-AMPHETAMINE BASE,50.79,52.67,49.06,54.98,207.53
2000,COLORADO,DL-AMPHETAMINE BASE,60.53,52.67,61.75,71.06,246.02
2000,CONNECTICUT,DL-AMPHETAMINE BASE,92.78,99.15,93.85,110.78,396.58
2000,DISTRICT OF COLUMBIA,DL-AMPHETAMINE BASE,63.17,66.68,65.53,77.29,272.69
2000,DELAWARE,DL-AMPHETAMINE BASE,327.76,336.02,301.13,305.43,1270.36
2000,FLORIDA,DL-AMPHETAMINE BASE,133.64,121.75,128.55,136.7,520.65
2000,GEORGIA,DL-AMPHETAMINE BASE,151.2,129.59,146.51,164.87,592.19
2000,HAWAII,DL-AMPHETAMINE BASE,17.34,13.31,13.82,18.77,63.26
2000,IOWA,DL-AMPHETAMINE BASE,106.58,103.9,110.83,130.34,451.66
2000,IDAHO,DL-AMPHETAMINE BASE,87.58,89.33,83.53,81.66,342.12
2000,ILLINOIS,DL-AMPHETAMINE BASE,78.14,76.04,81.36,92.34,327.9
2000,INDIANA,DL-AMPHETAMINE BASE,154.18,146.08,154.26,172.17,626.71
2000,KANSAS,DL-AMPHETAMINE BASE,128.84,124.08,132.46,155.15,540.54
2000,KENTUCKY,DL-AMPHETAMINE BASE,133.9,121.23,128.92,153.09,537.14
2000,LOUISIANA,DL-AMPHETAMINE BASE,154.62,139.53,150.94,175.74,620.85
2000,MASSACHUSETTS,DL-AMPHETAMINE BASE,127.47,132.03,126.77,151.93,538.22
2000,MARYLAND,DL-AMPHETAMINE BASE,132.76,129.8,127.06,132.66,522.3
2000,MAINE,DL-AMPHETAMINE BASE,86.04,92.89,95.67,107.84,382.45
2000,MICHIGAN,DL-AMPHETAMINE BASE,124.46,121.43,116.79,125.46,488.17
2000,MINNESOTA,DL-AMPHETAMINE BASE,120.96,114.25,119.28,144.88,499.38
2000,MISSOURI,DL-AMPHETAMINE BASE,166.02,147.14,161.37,186.17,660.72
2000,MISSISSIPPI,DL-AMPHETAMINE BASE,127.81,102.26,118.81,138.02,486.9
2000,MONTANA,DL-AMPHETAMINE BASE,84.25,85.58,80.65,84.66,335.15
2000,NEBRASKA,DL-AMPHETAMINE BASE,145.82,137.85,139.49,162.78,585.95
2000,NORTH CAROLINA,DL-AMPHETAMINE BASE,148.94,137.85,153.03,156.98,596.82
2000,NORTH DAKOTA,DL-AMPHETAMINE BASE,68.51,54.34,60.71,72.12,255.69
2000,NEW HAMPSHIRE,DL-AMPHETAMINE BASE,143.05,149.76,146.62,171.28,610.72
2000,NEW JERSEY,DL-AMPHETAMINE BASE,87.5,94.2,88.18,96.36,366.27
2000,NEW MEXICO,DL-AMPHETAMINE BASE,46.18,50.53,63.4,76.34,236.46
2000,NEVADA,DL-AMPHETAMINE BASE,129.95,109.88,109.58,110.73,460.16
2000,NEW YORK,DL-AMPHETAMINE BASE,44.15,51.2,50.96,57.36,203.69
2000,OHIO,DL-AMPHETAMINE BASE,143.12,130.36,137.27,162.78,573.54
